day,totale_positivi,nuovi_positivi
620,87376,5905
621,90356,6764
622,93693,6764
623,96987,5822
624,98775,4197
625,100205,6032
626,102859,7891
627,106920,8569
628,110659,8516
629,115112,8544
630,119230,7569
631,120875,5144
632,123396,7698
633,127085,10172
634,132513,10638
635,137130,10544
636,143401,11555
637,148760,9709
638,151514,6404
639,154510,10047
640,159317,12448
641,166598,13764
642,172618,13686
643,178946,12877
644,186443,12932
645,189643,7975
646,194270,12764
647,199783,15085
648,208871,16806
649,216154,17030
650,223718,16632
651,232000,15021
652,235835,9503
653,240894,15756
654,249214,17959
655,254553,12527
656,263148,20497
657,273882,21042
658,284877,19215
659,290757,12712
660,297394,20677
661,305653,23195
662,317930,26109
663,331968,28632
664,347472,28064
665,362275,24259
666,369703,16213
667,384144,30798
668,402729,36293
669,430029,44595
670,460674,50599
671,500466,54762
672,516839,24883
673,537504,30810
674,598868,78313
675,674865,98030
676,779463,126888
677,900984,144243
678,1021793,141358
679,1070537,61046
680,1125052,68052
681,1265297,170844
682,1421117,189109
683,1593579,219441
684,1674071,108304
685,1818893,197552
686,1943979,155659
687,2004597,101762
688,2134139,220532
689,2222060,196224
690,2323518,184615
691,2398828,186253
692,2470847,180426
693,2548857,149512
694,2555278,83403
695,2562156,212004
696,2626590,192320
697,2682041,188797
698,2695703,179106
699,2723949,171263
700,2734906,138860
